"[A]자치구별","자치구별","[B]감염병별","감염병별","[C]성별","성별","[Item]항목","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년",
"001","서울시","002023","폴리오","001001","발생","T001","법정감염병 발생현황","건","-","","-","-","-",
"001","서울시","002023","폴리오","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002023","폴리오","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002023","폴리오","001002","사망","T001","법정감염병 발생현황","건","-","","-","-","-",
"001","서울시","002023","폴리오","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002023","폴리오","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002011","수막구균감염증","001001","발생","T001","법정감염병 발생현황","건","1","1","1","4","6",
"001","서울시","002011","수막구균감염증","001001001","남","T001","법정감염병 발생현황","건","","","","2","4",
"001","서울시","002011","수막구균감염증","001001002","여","T001","법정감염병 발생현황","건","","","","2","2",
"001","서울시","002011","수막구균감염증","001002","사망","T001","법정감염병 발생현황","건","-","-","-","1","1",
"001","서울시","002011","수막구균감염증","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002011","수막구균감염증","001002002","여","T001","법정감염병 발생현황","건","","","","1","1",
"001","서울시","002018","b형헤모필수스인플루엔자","001001","발생","T001","법정감염병 발생현황","건","-","1","-","-","-",
"001","서울시","002018","b형헤모필수스인플루엔자","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002018","b형헤모필수스인플루엔자","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002018","b형헤모필수스인플루엔자","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002018","b형헤모필수스인플루엔자","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002018","b형헤모필수스인플루엔자","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002012","폐렴구균감염증","001001","발생","T001","법정감염병 발생현황","건","66","53","64","73","96",
"001","서울시","002012","폐렴구균감염증","001001001","남","T001","법정감염병 발생현황","건","","","","52","72",
"001","서울시","002012","폐렴구균감염증","001001002","여","T001","법정감염병 발생현황","건","","","","21","24",
"001","서울시","002012","폐렴구균감염증","001002","사망","T001","법정감염병 발생현황","건","10","3","3","10","13",
"001","서울시","002012","폐렴구균감염증","001002001","남","T001","법정감염병 발생현황","건","","","","6","12",
"001","서울시","002012","폐렴구균감염증","001002002","여","T001","법정감염병 발생현황","건","","","","4","1",
"001","서울시","002019","한센병","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002019","한센병","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
